start_id,start_label,end_id,end_label,relation_type,confidence,source
STG_SPACE_001,ChainStage,STG_SPACE_002,ChainStage,UPSTREAM_OF,1.00,candidate_space_v1
STG_SPACE_002,ChainStage,STG_SPACE_003,ChainStage,UPSTREAM_OF,1.00,candidate_space_v1
STG_SPACE_003,ChainStage,STG_SPACE_004,ChainStage,UPSTREAM_OF,1.00,candidate_space_v1
STG_SPACE_004,ChainStage,STG_SPACE_005,ChainStage,UPSTREAM_OF,1.00,candidate_space_v1
STG_SPACE_005,ChainStage,STG_SPACE_006,ChainStage,UPSTREAM_OF,1.00,candidate_space_v1
STG_SPACE_006,ChainStage,STG_SPACE_007,ChainStage,UPSTREAM_OF,1.00,candidate_space_v1
STG_SPACE_007,ChainStage,STG_SPACE_008,ChainStage,UPSTREAM_OF,1.00,candidate_space_v1
STG_SPACE_008,ChainStage,STG_SPACE_009,ChainStage,UPSTREAM_OF,1.00,candidate_space_v1
STG_SPACE_009,ChainStage,STG_SPACE_010,ChainStage,UPSTREAM_OF,1.00,candidate_space_v1
